Date first seen,Duration,Proto,Src IP Addr,Src Pt,Dst IP Addr,Dst Pt,Packets,Bytes,Flows,Flags,Tos,class,attackType,attackID,attackDescription
2017-03-17 11:00:16.593,0.0,TCP  ,192.168.220.8,60397,10001_232,80.0,1,      66,1,.A....,0,normal,---,---,---
2017-03-16 15:55:59.284,0.0,TCP  ,10092_109,80,192.168.210.5,60660.0,1,      62,1,.A..S.,0,normal,---,---,---
2017-03-21 09:58:44.202,0.106,TCP  ,10294_70,443,192.168.220.16,57384.0,20,   53852,1,.AP...,0,normal,---,---,---
2017-03-16 15:33:26.329,0.002,UDP  ,DNS,53,192.168.220.13,41130.0,2,     259,1,......,0,normal,---,---,---
2017-03-21 09:34:22.859,0.473,TCP  ,192.168.200.5,49997,10438_216,80.0,8,    1350,1,.AP.S.,0,normal,---,---,---
2017-03-16 10:16:50.409,0.0,TCP  ,10170_29,443,192.168.220.7,37486.0,1,      66,1,.A...F,32,normal,---,---,---
2017-03-16 08:43:34.944,0.0,UDP  ,DNS,53,192.168.220.15,52887.0,1,     119,1,......,0,normal,---,---,---
2017-03-20 13:07:39.585,0.0,TCP  ,192.168.200.9,53507,10012_24,80.0,1,      55,1,.A....,0,normal,---,---,---
2017-03-17 10:20:53.825,0.0,TCP  ,10837_134,80,192.168.220.11,59142.0,1,      66,1,.A....,32,normal,---,---,---
2017-03-20 13:45:47.461,0.003,UDP  ,192.168.200.4,57124,DNS,53.0,2,     146,1,......,0,normal,---,---,---
2017-03-21 09:12:10.948,0.0,UDP  ,192.168.220.3,68,192.168.220.2,67.0,1,     342,1,......,0,normal,---,---,---
2017-03-17 12:38:23.043,0.0,TCP  ,192.168.220.16,49109,10321_204,443.0,1,      66,1,.A....,0,normal,---,---,---
2017-03-20 09:35:15.530,0.0,TCP  ,192.168.220.16,51985,14388_82,443.0,1,      66,1,.A....,0,normal,---,---,---
2017-03-15 12:49:57.743,0.0,UDP  ,DNS,53,192.168.220.11,40608.0,2,     272,1,......,0,normal,---,---,---
2017-03-18 15:30:25.403,0.0,TCP  ,11670_8,443,192.168.220.7,51451.0,1,      66,1,.A....,32,normal,---,---,---
2017-03-17 12:36:57.365,0.0,TCP  ,10154_42,80,192.168.220.15,56253.0,1,      54,1,.A....,32,normal,---,---,---
